id,descendants_count,ebv
FR00000000479,476,690.7
NL00000001842,325,-597.6
US00000003013,436,1528.6
US00000001653,1097,1193.2
DE00000001742,496,1510.6
GB00000002348,522,1315.3
US00000002804,355,1444.3
FR00000002912,1250,1238.7
DE00000003760,369,1138.5
DE00000003486,472,1085.5
FR00000003214,39,-475.5
RU00000003147,50,824.9
RU00000002534,41,475.4
NL00000003091,208,539.0
GB00000002585,2,1173.9
GB00000002899,15,534.9
RU00000002787,52,-13.0
US00000003507,84,1782.9
US00000000795,299,1867.9
US00000003459,51,1506.6
NL00000051437,157,772.5
FR00000051194,221,346.6
RU00000051449,235,324.9
NL00000050889,275,650.7
GB00000051000,183,-432.4
NL00000051057,219,-11.8
FR00000051052,263,-40.1
FR00000051087,266,23.0
US00000051108,151,477.0
US00000051455,217,489.8
GB00000052082,3,
DE00000080214,1,704.2
GB00000051128,106,0.9
RU00000051274,1,-324.6
DE00000073683,1,-969.5
GB00000064975,1,-1252.2
NL00000050449,7,-1305.2
NL00000060143,1,-656.6
NL00000050788,1,691.9
